cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision
9509.500000000002,2025-01-28T19:01:04.115Z,23.7238392,90.410833,48.760485963400406,1.539,1.61,3,163
9565.111111111113,2025-01-28T19:01:04.170Z,23.7238385,90.4108344,48.669485963400405,1.627,1.62,3,163
9620.722222222224,2025-01-28T19:01:04.225Z,23.7238376,90.4108357,48.5644859634004,1.725,1.71,3,163
9676.333333333336,2025-01-28T19:01:04.280Z,23.7238364,90.4108367,48.5394859634004,1.807,1.81,3,163
9731.944444444447,2025-01-28T19:01:04.335Z,23.7238351,90.4108376,48.477485963400405,1.85,1.88,3,163
9787.555555555558,2025-01-28T19:01:04.390Z,23.7238335,90.4108382,48.4484859634004,1.883,1.93,3,163
9843.16666666667,2025-01-28T19:01:04.445Z,23.7238328,90.4108385,48.529485963400404,1.84,1.96,3,163
9898.777777777781,2025-01-28T19:01:04.500Z,23.723832,90.4108388,48.608485963400405,1.807,1.91,3,163
9954.388888888892,2025-01-28T19:01:04.555Z,23.7238312,90.4108391,48.651485963400404,1.779,1.87,3,163
10010,2025-01-28T19:01:04.610Z,23.7238305,90.4108397,48.72948596340041,1.782,1.85,3,203
10062.684210526315,2025-01-28T19:01:04.665Z,23.7238299,90.4108394,48.748485963400405,1.708,1.84,3,203
10115.36842105263,2025-01-28T19:01:04.720Z,23.7238286,90.4108394,48.6704859634004,1.769,1.77,3,203
10168.052631578945,2025-01-28T19:01:04.775Z,23.7238277,90.4108398,48.76248596340041,1.807,1.83,3,203
10220.73684210526,2025-01-28T19:01:04.830Z,23.7238266,90.4108405,48.8114859634004,1.861,1.87,3,203
10273.421052631575,2025-01-28T19:01:04.885Z,23.7238257,90.4108417,48.78748596340041,1.891,1.92,3,203
10326.10526315789,2025-01-28T19:01:04.940Z,23.7238247,90.4108423,48.8084859634004,1.905,1.94,3,203
10378.789473684204,2025-01-28T19:01:04.995Z,23.7238236,90.4108429,48.818485963400406,1.915,1.96,3,203
10431.47368421052,2025-01-28T19:01:05.050Z,23.7238228,90.4108438,48.88148596340041,1.884,1.96,3,203
10484.157894736834,2025-01-28T19:01:05.105Z,23.7238215,90.4108443,48.7864859634004,1.961,1.93,3,203
10536.84210526315,2025-01-28T19:01:05.160Z,23.7238206,90.4108444,48.7194859634004,1.978,2.01,3,203
10589.526315789464,2025-01-28T19:01:05.215Z,23.7238201,90.4108449,48.675485963400405,1.908,2.03,3,203
10642.21052631578,2025-01-28T19:01:05.270Z,23.7238196,90.4108451,48.708485963400406,1.822,1.96,3,203
10694.894736842094,2025-01-28T19:01:05.325Z,23.7238191,90.4108454,48.75348596340041,1.749,1.87,3,203
10747.578947368409,2025-01-28T19:01:05.380Z,23.7238186,90.4108461,48.654485963400404,1.704,1.8,3,203
10800.263157894724,2025-01-28T19:01:05.435Z,23.7238183,90.4108464,48.60148596340041,1.623,1.76,3,203
10852.947368421039,2025-01-28T19:01:05.490Z,23.723818,90.4108463,48.425485963400405,1.485,1.68,3,203
10905.631578947354,2025-01-28T19:01:05.545Z,23.7238176,90.4108465,48.29348596340041,1.412,1.56,3,203
10958.315789473669,2025-01-28T19:01:05.600Z,23.7238178,90.4108467,48.230485963400405,1.282,1.5,3,203
11011,2025-01-28T19:01:05.655Z,23.7238175,90.4108472,48.148485963400404,1.232,1.38,3,166
11066.611111111111,2025-01-28T19:01:05.710Z,23.7238175,90.4108479,48.0854859634004,1.131,1.33,3,166
11122.222222222223,2025-01-28T19:01:05.765Z,23.7238177,90.4108479,48.1804859634004,1.035,1.24,3,166
11177.833333333334,2025-01-28T19:01:05.820Z,23.7238174,90.4108479,48.1944859634004,1.029,1.15,3,166
11233.444444444445,2025-01-28T19:01:05.875Z,23.723817,90.410848,48.1334859634004,1.037,1.14,3,166
11289.055555555557,2025-01-28T19:01:05.930Z,23.7238176,90.4108477,48.150485963400406,0.897,1.15,3,166
11344.666666666668,2025-01-28T19:01:05.985Z,23.7238174,90.4108482,48.0424859634004,0.847,1.03,3,166
11400.27777777778,2025-01-28T19:01:06.040Z,23.7238172,90.4108487,47.928485963400405,0.806,0.99,3,166
11455.88888888889,2025-01-28T19:01:06.095Z,23.7238169,90.4108494,47.806485963400405,0.824,0.96,3,166
11511.500000000002,2025-01-28T19:01:06.150Z,23.7238166,90.4108497,47.7404859634004,0.79,0.98,3,166
11567.111111111113,2025-01-28T19:01:06.205Z,23.7238164,90.4108497,47.687485963400405,0.733,0.96,3,166
11622.722222222224,2025-01-28T19:01:06.260Z,23.7238164,90.4108495,47.586485963400406,0.672,0.91,3,166
11678.333333333336,2025-01-28T19:01:06.315Z,23.7238167,90.4108488,47.5484859634004,0.558,0.87,3,166
11733.944444444447,2025-01-28T19:01:06.370Z,23.7238166,90.4108479,47.5484859634004,0.521,0.79,3,166
11789.555555555558,2025-01-28T19:01:06.425Z,23.7238166,90.4108478,47.4904859634004,0.517,0.77,3,166
11845.16666666667,2025-01-28T19:01:06.480Z,23.7238166,90.4108474,47.3564859634004,0.443,0.77,3,166
